symbol,name,yahoo_symbol
DBCORP,D.B.Corp Limited,DBCORP.NS
DBEIL,Deepak Builders & Engineers India Limited,DBEIL.NS
DBL,Dilip Buildcon Limited,DBL.NS
DBOL,Dhampur Bio Organics Limited,DBOL.NS
DBREALTY,Valor Estate Limited,DBREALTY.NS
DBSTOCKBRO,DB (International) Stock Brokers Limited,DBSTOCKBRO.NS
DCAL,Dishman Carbogen Amcis Limited,DCAL.NS
DCBBANK,DCB Bank Limited,DCBBANK.NS
DCI,Dc Infotech And Communication Limited,DCI.NS
DCM,DCM  Limited,DCM.NS
DCMFINSERV,DCM Financial Services Limited,DCMFINSERV.NS
DCMNVL,DCM Nouvelle Limited,DCMNVL.NS
DCMSHRIRAM,DCM Shriram Limited,DCMSHRIRAM.NS
DCMSRIND,DCM Shriram Industries Limited,DCMSRIND.NS
DCW,DCW Limited,DCW.NS
DCXINDIA,DCX Systems Limited,DCXINDIA.NS
DDEVPLSTIK,Ddev Plastiks Industries Limited,DDEVPLSTIK.NS
DECCANCE,Deccan Cements Limited,DECCANCE.NS
DEEDEV,DEE Development Engineers Limited,DEEDEV.NS
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT.NS
DEEPAKNTR,Deepak Nitrite Limited,DEEPAKNTR.NS
DEEPINDS,Deep Industries Limited,DEEPINDS.NS
DELHIVERY,Delhivery Limited,DELHIVERY.NS
DELPHIFX,DELPHI WORLD MONEY LIMITED,DELPHIFX.NS
DELTACORP,Delta Corp Limited,DELTACORP.NS
DELTAMAGNT,Delta Manufacturing Limited,DELTAMAGNT.NS
DEN,Den Networks Limited,DEN.NS
DENORA,De Nora India Limited,DENORA.NS
DENTA,Denta Water and Infra Solutions Limited,DENTA.NS
DEVIT,Dev Information Technology Limited,DEVIT.NS
DEVX,Dev Accelerator Limited,DEVX.NS
DEVYANI,Devyani International Limited,DEVYANI.NS
DGCONTENT,Digicontent Limited,DGCONTENT.NS
DHAMPURSUG,Dhampur Sugar Mills Limited,DHAMPURSUG.NS
DHANBANK,Dhanlaxmi Bank Limited,DHANBANK.NS
DHANUKA,Dhanuka Agritech Limited,DHANUKA.NS
DHARAN,DHARAN INFRA-EPC LIMITED,DHARAN.NS
DHARMAJ,Dharmaj Crop Guard Limited,DHARMAJ.NS
DHRUV,Dhruv Consultancy Services Limited,DHRUV.NS
DHUNINV,Dhunseri Investments Limited,DHUNINV.NS
DIACABS,Diamond Power Infrastructure Limited,DIACABS.NS
DIAMINESQ,Diamines & Chemicals Limited,DIAMINESQ.NS
DIAMONDYD,Prataap Snacks Limited,DIAMONDYD.NS
DICIND,DIC India Limited,DICIND.NS
DIFFNKG,Diffusion Engineers Limited,DIFFNKG.NS
DIGIDRIVE,Digidrive Distributors Limited,DIGIDRIVE.NS
DIGISPICE,DiGiSPICE Technologies Limited,DIGISPICE.NS
DIGITIDE,Digitide Solutions Limited,DIGITIDE.NS
DIL,Debock Industries Limited,DIL.NS
DISHTV,Dish TV India Limited,DISHTV.NS
DIVGIITTS,Divgi Torqtransfer Systems Limited,DIVGIITTS.NS
DIVISLAB,Divi's Laboratories Limited,DIVISLAB.NS
DIXON,Dixon Technologies (India) Limited,DIXON.NS
DJML,DJ Mediaprint & Logistics Limited,DJML.NS
DLF,DLF Limited,DLF.NS
DLINKINDIA,D-Link (India) Limited,DLINKINDIA.NS
DMART,Avenue Supermarts Limited,DMART.NS
DMCC,DMCC SPECIALITY CHEMICALS LIMITED,DMCC.NS
DNAMEDIA,Diligent Media Corporation Limited,DNAMEDIA.NS
DODLA,Dodla Dairy Limited,DODLA.NS
DOLATALGO,Dolat Algotech Limited,DOLATALGO.NS
DOLLAR,Dollar Industries Limited,DOLLAR.NS
DOLPHIN,Dolphin Offshore Enterprises (India) Limited,DOLPHIN.NS
DOMS,DOMS Industries Limited,DOMS.NS
DONEAR,Donear Industries Limited,DONEAR.NS
DPABHUSHAN,D. P. Abhushan Limited,DPABHUSHAN.NS
DPSCLTD,DPSC Limited,DPSCLTD.NS
DPWIRES,D P Wires Limited,DPWIRES.NS
DRCSYSTEMS,DRC Systems India Limited,DRCSYSTEMS.NS
DREAMFOLKS,Dreamfolks Services Limited,DREAMFOLKS.NS
DREDGECORP,Dredging Corporation of India Limited,DREDGECORP.NS
DRREDDY,Dr. Reddy's Laboratories Limited,DRREDDY.NS
DSSL,Dynacons Systems & Solutions Limited,DSSL.NS
DTIL,Dhunseri Tea & Industries Limited,DTIL.NS
DUCON,Ducon Infratechnologies Limited,DUCON.NS
DVL,Dhunseri Ventures Limited,DVL.NS
DWARKESH,Dwarikesh Sugar Industries Limited,DWARKESH.NS
DYCL,Dynamic Cables Limited,DYCL.NS
DYNAMATECH,Dynamatic Technologies Limited,DYNAMATECH.NS
DYNPRO,Dynemic Products Limited,DYNPRO.NS
E2E,E2E Networks Limited,E2E.NS
EASEMYTRIP,Easy Trip Planners Limited,EASEMYTRIP.NS
EBGNG,GNG Electronics Limited,EBGNG.NS
ECLERX,eClerx Services Limited,ECLERX.NS
ECOSMOBLTY,Ecos (India) Mobility & Hospitality Limited,ECOSMOBLTY.NS
EDELWEISS,Edelweiss Financial Services Limited,EDELWEISS.NS
EFCIL,EFC (I) Limited,EFCIL.NS
EICHERMOT,Eicher Motors Limited,EICHERMOT.NS
EIDPARRY,EID Parry India Limited,EIDPARRY.NS
EIEL,Enviro Infra Engineers Limited,EIEL.NS
EIFFL,Euro India Fresh Foods Limited,EIFFL.NS
EIHAHOTELS,EIH Associated Hotels Limited,EIHAHOTELS.NS
EIHOTEL,EIH Limited,EIHOTEL.NS
EIMCOELECO,Eimco Elecon (India) Limited,EIMCOELECO.NS
EKC,Everest Kanto Cylinder Limited,EKC.NS
ELDEHSG,Eldeco Housing And Industries Limited,ELDEHSG.NS
ELECON,Elecon Engineering Company Limited,ELECON.NS
ELECTCAST,Electrosteel Castings Limited,ELECTCAST.NS
ELECTHERM,Electrotherm (India) Limited,ELECTHERM.NS
ELGIEQUIP,Elgi Equipments Limited,ELGIEQUIP.NS
ELGIRUBCO,Elgi Rubber Company Limited,ELGIRUBCO.NS
ELIN,Elin Electronics Limited,ELIN.NS
ELLEN,Ellenbarrie Industrial Gases Limited,ELLEN.NS
EMAMILTD,Emami Limited,EMAMILTD.NS
EMAMIPAP,Emami Paper Mills Limited,EMAMIPAP.NS
EMAMIREAL,Emami Realty Limited,EMAMIREAL.NS
EMBDL,Embassy Developments Limited,EMBDL.NS
EMCURE,Emcure Pharmaceuticals Limited,EMCURE.NS
EMIL,Electronics Mart India Limited,EMIL.NS
EMKAY,Emkay Global Financial Services Limited,EMKAY.NS
EMMBI,Emmbi Industries Limited,EMMBI.NS
EMSLIMITED,EMS Limited,EMSLIMITED.NS
EMUDHRA,eMudhra Limited,EMUDHRA.NS
ENDURANCE,Endurance Technologies Limited,ENDURANCE.NS
ENERGYDEV,Energy Development Company Limited,ENERGYDEV.NS
ENGINERSIN,Engineers India Limited,ENGINERSIN.NS
ENIL,Entertainment Network (India) Limited,ENIL.NS
ENRIN,Siemens Energy India Limited,ENRIN.NS
ENTERO,Entero Healthcare Solutions Limited,ENTERO.NS
EPACK,EPACK Durable Limited,EPACK.NS
EPACKPEB,EPack Prefab Technologies Limited,EPACKPEB.NS
EPIGRAL,Epigral Limited,EPIGRAL.NS
EPL,EPL Limited,EPL.NS
EQUIPPP,Equippp Social Impact Technologies Limited,EQUIPPP.NS
EQUITASBNK,Equitas Small Finance Bank Limited,EQUITASBNK.NS
ERIS,Eris Lifesciences Limited,ERIS.NS
ESABINDIA,Esab India Limited,ESABINDIA.NS
ESAFSFB,ESAF Small Finance Bank Limited,ESAFSFB.NS
ESCORTS,Escorts Kubota Limited,ESCORTS.NS
ESSARSHPNG,Essar Shipping Limited,ESSARSHPNG.NS
ESSENTIA,Integra Essentia Limited,ESSENTIA.NS
ESTER,Ester Industries Limited,ESTER.NS
ETERNAL,ETERNAL LIMITED,ETERNAL.NS
ETHOSLTD,Ethos Limited,ETHOSLTD.NS
EUREKAFORB,Eureka Forbes Limited,EUREKAFORB.NS
EUROBOND,Euro Panel Products Limited,EUROBOND.NS
EUROPRATIK,Euro Pratik Sales Limited,EUROPRATIK.NS
EVEREADY,Eveready Industries India Limited,EVEREADY.NS
EVERESTIND,Everest Industries Limited,EVERESTIND.NS
EXCEL,Excel Realty N Infra Limited,EXCEL.NS
EXCELINDUS,Excel Industries Limited,EXCELINDUS.NS
EXICOM,Exicom Tele-Systems Limited,EXICOM.NS
EXIDEIND,Exide Industries Limited,EXIDEIND.NS
EXPLEOSOL,Expleo Solutions Limited,EXPLEOSOL.NS
EXXARO,Exxaro Tiles Limited,EXXARO.NS
FABTECH,Fabtech Technologies Limited,FABTECH.NS
FACT,Fertilizers and Chemicals Travancore Limited,FACT.NS
FAIRCHEMOR,Fairchem Organics Limited,FAIRCHEMOR.NS
FAZE3Q,Faze Three Limited,FAZE3Q.NS
FCL,Fineotex Chemical Limited,FCL.NS
FCSSOFT,FCS Software Solutions Limited,FCSSOFT.NS
FDC,FDC Limited,FDC.NS
FEDERALBNK,The Federal Bank  Limited,FEDERALBNK.NS
FEDFINA,Fedbank Financial Services Limited,FEDFINA.NS
FEL,Future Enterprises Limited,FEL.NS
FELDVR,Future Enterprises Limited,FELDVR.NS
FIBERWEB,Fiberweb (India) Limited,FIBERWEB.NS
FIEMIND,Fiem Industries Limited,FIEMIND.NS
FILATEX,Filatex India Limited,FILATEX.NS
FILATFASH,Filatex Fashions Limited,FILATFASH.NS
FINCABLES,Finolex Cables Limited,FINCABLES.NS
FINEORG,Fine Organic Industries Limited,FINEORG.NS
FINKURVE,Finkurve Financial Services Limited,FINKURVE.NS
FINOPB,Fino Payments Bank Limited,FINOPB.NS
FINPIPE,Finolex Industries Limited,FINPIPE.NS
FIRSTCRY,Brainbees Solutions Limited,FIRSTCRY.NS
FISCHER,Fischer Medical Ventures Limited,FISCHER.NS
FIVESTAR,Five-Star Business Finance Limited,FIVESTAR.NS
FLAIR,Flair Writing Industries Limited,FLAIR.NS
FLEXITUFF,Flexituff Ventures International Limited,FLEXITUFF.NS
FLFL,Future Lifestyle Fashions Limited,FLFL.NS
FLUOROCHEM,Gujarat Fluorochemicals Limited,FLUOROCHEM.NS
FMGOETZE,Federal-Mogul Goetze (India) Limited.,FMGOETZE.NS
FMNL,Future Market Networks Limited,FMNL.NS
FOCUS,Focus Lighting and Fixtures Limited,FOCUS.NS
FOODSIN,Foods & Inns Limited,FOODSIN.NS
FORCEMOT,FORCE MOTORS LTD,FORCEMOT.NS
FORTIS,Fortis Healthcare Limited,FORTIS.NS
FOSECOIND,Foseco India Limited,FOSECOIND.NS
FSL,Firstsource Solutions Limited,FSL.NS
FUSION,Fusion Finance Limited,FUSION.NS
GABRIEL,Gabriel India Limited,GABRIEL.NS
GAEL,Gujarat Ambuja Exports Limited,GAEL.NS
GAIL,GAIL (India) Limited,GAIL.NS
GALAPREC,Gala Precision Engineering Limited,GALAPREC.NS
GALAXYSURF,Galaxy Surfactants Limited,GALAXYSURF.NS
GALLANTT,Gallantt Ispat Limited,GALLANTT.NS
GANDHAR,Gandhar Oil Refinery (India) Limited,GANDHAR.NS
GANDHITUBE,Gandhi Special Tubes Limited,GANDHITUBE.NS
GANECOS,Ganesha Ecosphere Limited,GANECOS.NS
GANESHBE,Ganesh Benzoplast Limited,GANESHBE.NS
GANESHCP,Ganesh Consumer Products Limited,GANESHCP.NS
GANESHHOU,GANESH HOUSING LIMITED,GANESHHOU.NS
GANGAFORGE,Ganga Forging Limited,GANGAFORGE.NS
GANGESSECU,Ganges Securities Limited,GANGESSECU.NS
GARFIBRES,Garware Technical Fibres Limited,GARFIBRES.NS
GARUDA,Garuda Construction and Engineering Limited,GARUDA.NS
GATECH,GACM Technologies Limited,GATECH.NS
GATECHDVR,GACM Technologies Limited,GATECHDVR.NS
GATEWAY,Gateway Distriparks Limited,GATEWAY.NS
GAYAHWS,Gayatri Highways Limited,GAYAHWS.NS
GCSL,Gretex Corporate Services Limited,GCSL.NS
GEECEE,GeeCee Ventures Limited,GEECEE.NS
GEEKAYWIRE,Geekay Wires Limited,GEEKAYWIRE.NS
GEMAROMA,Gem Aromatics Limited,GEMAROMA.NS
GENCON,Generic Engineering Construction and Projects Limited,GENCON.NS
GENESYS,Genesys International Corporation Limited,GENESYS.NS
GENSOL,Gensol Engineering Limited,GENSOL.NS
GENUSPAPER,Genus Paper & Boards Limited,GENUSPAPER.NS
GENUSPOWER,Genus Power Infrastructures Limited,GENUSPOWER.NS
GEOJITFSL,Geojit Financial Services Limited,GEOJITFSL.NS
GESHIP,The Great Eastern Shipping Company Limited,GESHIP.NS
GFLLIMITED,GFL Limited,GFLLIMITED.NS
GHCL,GHCL Limited,GHCL.NS
GHCLTEXTIL,GHCL Textiles Limited,GHCLTEXTIL.NS
GICHSGFIN,GIC Housing Finance Limited,GICHSGFIN.NS
GICRE,General Insurance Corporation of India,GICRE.NS
GILLANDERS,Gillanders Arbuthnot & Company Limited,GILLANDERS.NS
GILLETTE,Gillette India Limited,GILLETTE.NS
GINNIFILA,Ginni Filaments Limited,GINNIFILA.NS
GIPCL,Gujarat Industries Power Company Limited,GIPCL.NS
GKENERGY,GK Energy Limited,GKENERGY.NS
GKWLIMITED,GKW Limited,GKWLIMITED.NS
GLAND,Gland Pharma Limited,GLAND.NS
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,GLAXO.NS
GLENMARK,Glenmark Pharmaceuticals Limited,GLENMARK.NS
GLOBAL,Global Education Limited,GLOBAL.NS
GLOBALE,Globale Tessile Limited,GLOBALE.NS
GLOBALVECT,Global Vectra Helicorp Limited,GLOBALVECT.NS
GLOBE,GLOBE ENTERPRISES (INDIA) LIMITED,GLOBE.NS
GLOBECIVIL,Globe Civil Projects Limited,GLOBECIVIL.NS
GLOBUSSPR,Globus Spirits Limited,GLOBUSSPR.NS
GLOSTERLTD,Gloster Limited,GLOSTERLTD.NS
GLOTTIS,Glottis Limited,GLOTTIS.NS
GMBREW,GM Breweries Limited,GMBREW.NS
GMDCLTD,Gujarat Mineral Development Corporation Limited,GMDCLTD.NS
GMMPFAUDLR,GMM Pfaudler Limited,GMMPFAUDLR.NS
GMRAIRPORT,GMR AIRPORTS LIMITED,GMRAIRPORT.NS
GMRP&UI,GMR Power and Urban Infra Limited,GMRP&UI.NS
GNA,GNA Axles Limited,GNA.NS
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC.NS
GOACARBON,Goa Carbon Limited,GOACARBON.NS
GOCLCORP,GOCL Corporation Limited,GOCLCORP.NS
GOCOLORS,Go Fashion (India) Limited,GOCOLORS.NS
GODAVARIB,Godavari Biorefineries Limited,GODAVARIB.NS
GODFRYPHLP,Godfrey Phillips India Limited,GODFRYPHLP.NS
GODIGIT,Go Digit General Insurance Limited,GODIGIT.NS
GODREJAGRO,Godrej Agrovet Limited,GODREJAGRO.NS
GODREJCP,Godrej Consumer Products Limited,GODREJCP.NS
GODREJIND,Godrej Industries Limited,GODREJIND.NS
GODREJPROP,Godrej Properties Limited,GODREJPROP.NS
GOKEX,Gokaldas Exports Limited,GOKEX.NS
GOKUL,Gokul Refoils and Solvent Limited,GOKUL.NS
GOKULAGRO,Gokul Agro Resources Limited,GOKULAGRO.NS
GOLDENTOBC,Golden Tobacco Limited,GOLDENTOBC.NS
GOLDIAM,Goldiam International Limited,GOLDIAM.NS
GOLDTECH,AION-TECH SOLUTIONS LIMITED,GOLDTECH.NS
GOODLUCK,Goodluck India Limited,GOODLUCK.NS
GOPAL,Gopal Snacks Limited,GOPAL.NS
GOYALALUM,Goyal Aluminiums Limited,GOYALALUM.NS
GPIL,Godawari Power And Ispat limited,GPIL.NS
GPPL,Gujarat Pipavav Port Limited,GPPL.NS
GPTHEALTH,GPT Healthcare Limited,GPTHEALTH.NS
GPTINFRA,GPT Infraprojects Limited,GPTINFRA.NS
GRANULES,Granules India Limited,GRANULES.NS
GRAPHITE,Graphite India Limited,GRAPHITE.NS
GRASIM,Grasim Industries Limited,GRASIM.NS
GRAVITA,Gravita India Limited,GRAVITA.NS
GREAVESCOT,Greaves Cotton Limited,GREAVESCOT.NS
GREENLAM,Greenlam Industries Limited,GREENLAM.NS
GREENPANEL,Greenpanel Industries Limited,GREENPANEL.NS
GREENPLY,Greenply Industries Limited,GREENPLY.NS
GREENPOWER,Orient Green Power Company Limited,GREENPOWER.NS
GRINDWELL,Grindwell Norton Limited,GRINDWELL.NS
GRINFRA,G R Infraprojects Limited,GRINFRA.NS
GRMOVER,GRM Overseas Limited,GRMOVER.NS
GROBTEA,The Grob Tea Company Limited,GROBTEA.NS
GROWW,Billionbrains Garage Ventures Limited,GROWW.NS
GRPLTD,GRP Limited,GRPLTD.NS
GRSE,Garden Reach Shipbuilders & Engineers Limited,GRSE.NS
GRWRHITECH,Garware Hi-Tech Films Limited,GRWRHITECH.NS
GSFC,Gujarat State Fertilizers & Chemicals Limited,GSFC.NS
GSLSU,Global Surfaces Limited,GSLSU.NS
GSPL,Gujarat State Petronet Limited,GSPL.NS
GSS,GSS Infotech Limited,GSS.NS
GTECJAINX,G-TEC JAINX EDUCATION LIMITED,GTECJAINX.NS
GTL,GTL Limited,GTL.NS
GTLINFRA,GTL Infrastructure Limited,GTLINFRA.NS
GTPL,GTPL Hathway Limited,GTPL.NS
GUFICBIO,Gufic Biosciences Limited,GUFICBIO.NS
GUJALKALI,Gujarat Alkalies and Chemicals Limited,GUJALKALI.NS
GUJAPOLLO,Gujarat Apollo Industries Limited,GUJAPOLLO.NS
GUJGASLTD,Gujarat Gas Limited,GUJGASLTD.NS
GUJRAFFIA,Gujarat Raffia Industries Limited,GUJRAFFIA.NS
GUJTHEM,Gujarat Themis Biosyn Limited,GUJTHEM.NS
GULFOILLUB,Gulf Oil Lubricants India Limited,GULFOILLUB.NS
GULFPETRO,GP Petroleums Limited,GULFPETRO.NS
GULPOLY,Gulshan Polyols Limited,GULPOLY.NS
GVKPIL,GVK Power & Infrastructure Limited,GVKPIL.NS
GVPIL,GE Power India Limited,GVPIL.NS
GVPTECH,GVP Infotech Limited,GVPTECH.NS
GVT&D,GE Vernova T&D India Limited,GVT&D.NS
HAL,Hindustan Aeronautics Limited,HAL.NS
HAPPSTMNDS,Happiest Minds Technologies Limited,HAPPSTMNDS.NS
HAPPYFORGE,Happy Forgings Limited,HAPPYFORGE.NS
HARDWYN,Hardwyn India Limited,HARDWYN.NS
HARIOMPIPE,Hariom Pipe Industries Limited,HARIOMPIPE.NS
HARRMALAYA,Harrisons  Malayalam Limited,HARRMALAYA.NS
HARSHA,Harsha Engineers International Limited,HARSHA.NS
HATHWAY,Hathway Cable & Datacom Limited,HATHWAY.NS
HATSUN,Hatsun Agro Product Limited,HATSUN.NS
HAVELLS,Havells India Limited,HAVELLS.NS
HAVISHA,Sri Havisha Hospitality and Infrastructure Limited,HAVISHA.NS
HBLENGINE,HBL Engineering Limited,HBLENGINE.NS
HBSL,HB Stockholdings Limited,HBSL.NS
HCC,Hindustan Construction Company Limited,HCC.NS
HCG,Healthcare Global Enterprises Limited,HCG.NS
HCL-INSYS,HCL Infosystems Limited,HCL-INSYS.NS
HCLTECH,HCL Technologies Limited,HCLTECH.NS
HDBFS,HDB Financial Services Limited,HDBFS.NS
HDFCAMC,HDFC Asset Management Company Limited,HDFCAMC.NS
HDFCBANK,HDFC Bank Limited,HDFCBANK.NS
HDFCLIFE,HDFC Life Insurance Company Limited,HDFCLIFE.NS
HDIL,Housing Development and Infrastructure Limited,HDIL.NS
HEADSUP,Heads UP Ventures Limited,HEADSUP.NS
HECPROJECT,HEC Infra Projects Limited,HECPROJECT.NS
HEG,HEG Limited,HEG.NS
HEIDELBERG,HeidelbergCement India Limited,HEIDELBERG.NS
HEMIPROP,Hemisphere Properties India Limited,HEMIPROP.NS
HERANBA,Heranba Industries Limited,HERANBA.NS
HERCULES,Hercules Hoists Limited,HERCULES.NS
HERITGFOOD,Heritage Foods Limited,HERITGFOOD.NS
HEROMOTOCO,Hero MotoCorp Limited,HEROMOTOCO.NS
HESTERBIO,Hester Biosciences Limited,HESTERBIO.NS
HEUBACHIND,Heubach Colorants India Limited,HEUBACHIND.NS
HEXATRADEX,Hexa Tradex Limited,HEXATRADEX.NS
HEXT,Hexaware Technologies Limited,HEXT.NS
HFCL,HFCL Limited,HFCL.NS
HGINFRA,H.G. Infra Engineering Limited,HGINFRA.NS
HGM,HandsOn Global Management (HGM) Limited,HGM.NS
HGS,Hinduja Global Solutions Limited,HGS.NS
HIKAL,Hikal Limited,HIKAL.NS
HILINFRA,Highway Infrastructure Limited,HILINFRA.NS
HILTON,Hilton Metal Forging Limited,HILTON.NS
HIMATSEIDE,Himatsingka Seide Limited,HIMATSEIDE.NS
HINDALCO,Hindalco Industries Limited,HINDALCO.NS
HINDCOMPOS,Hindustan Composites Limited,HINDCOMPOS.NS
HINDCON,Hindcon Chemicals Limited,HINDCON.NS
HINDCOPPER,Hindustan Copper Limited,HINDCOPPER.NS
HINDOILEXP,Hindustan Oil Exploration Company Limited,HINDOILEXP.NS
HINDPETRO,Hindustan Petroleum Corporation Limited,HINDPETRO.NS
HINDUNILVR,Hindustan Unilever Limited,HINDUNILVR.NS
HINDWAREAP,Hindware Home Innovation Limited,HINDWAREAP.NS
HINDZINC,Hindustan Zinc Limited,HINDZINC.NS
HIRECT,Hind Rectifiers Limited,HIRECT.NS
HISARMETAL,Hisar Metal Industries Limited,HISARMETAL.NS
HITECH,Hi-Tech Pipes Limited,HITECH.NS
HITECHCORP,Hitech Corporation Limited,HITECHCORP.NS
HITECHGEAR,The Hi-Tech Gears Limited,HITECHGEAR.NS
HLEGLAS,HLE Glascoat Limited,HLEGLAS.NS
HLVLTD,HLV LIMITED,HLVLTD.NS
HMAAGRO,HMA Agro Industries Limited,HMAAGRO.NS
HMT,HMT Limited,HMT.NS
HMVL,Hindustan Media Ventures Limited,HMVL.NS
HNDFDS,Hindustan Foods Limited,HNDFDS.NS
HOMEFIRST,Home First Finance Company India Limited,HOMEFIRST.NS
HONASA,Honasa Consumer Limited,HONASA.NS
HONAUT,Honeywell Automation India Limited,HONAUT.NS
HONDAPOWER,Honda India Power Products Limited,HONDAPOWER.NS
HPAL,HP Adhesives Limited,HPAL.NS
HPIL,Hindprakash Industries Limited,HPIL.NS
HPL,HPL Electric & Power Limited,HPL.NS
HSCL,Himadri Speciality Chemical Limited,HSCL.NS
HTMEDIA,HT Media Limited,HTMEDIA.NS
HUBTOWN,Hubtown Limited,HUBTOWN.NS
HUDCO,Housing & Urban Development Corporation Limited,HUDCO.NS
HUHTAMAKI,Huhtamaki India Limited,HUHTAMAKI.NS
HYBRIDFIN,Hybrid Financial Services Limited,HYBRIDFIN.NS
HYUNDAI,Hyundai Motor India Limited,HYUNDAI.NS
ICDSLTD,ICDS Limited,ICDSLTD.NS
ICEMAKE,Ice Make Refrigeration Limited,ICEMAKE.NS
ICICIBANK,ICICI Bank Limited,ICICIBANK.NS
ICICIGI,ICICI Lombard General Insurance Company Limited,ICICIGI.NS
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,ICICIPRULI.NS
ICIL,Indo Count Industries Limited,ICIL.NS
ICRA,ICRA Limited,ICRA.NS
IDBI,IDBI Bank Limited,IDBI.NS
IDEA,Vodafone Idea Limited,IDEA.NS
IDEAFORGE,Ideaforge Technology Limited,IDEAFORGE.NS
IDFCFIRSTB,IDFC First Bank Limited,IDFCFIRSTB.NS
IEX,Indian Energy Exchange Limited,IEX.NS
IFBAGRO,IFB Agro Industries Limited,IFBAGRO.NS
IFBIND,IFB Industries Limited,IFBIND.NS
IFCI,IFCI Limited,IFCI.NS
IFGLEXPOR,IFGL Refractories Limited,IFGLEXPOR.NS
IGARASHI,Igarashi Motors India Limited,IGARASHI.NS
IGCL,Indogulf Cropsciences Limited,IGCL.NS
IGIL,International Gemmological Institute (India) Limited,IGIL.NS
IGL,Indraprastha Gas Limited,IGL.NS
IGPL,IG Petrochemicals Limited,IGPL.NS
IIFL,IIFL Finance Limited,IIFL.NS
IIFLCAPS,IIFL Capital Services Limited,IIFLCAPS.NS
IITL,Industrial Investment Trust Limited,IITL.NS
IKIO,IKIO Technologies Limited,IKIO.NS
IKS,Inventurus Knowledge Solutions Limited,IKS.NS
IL&FSENGG,IL&FS Engineering and Construction Company Limited,IL&FSENGG.NS
IL&FSTRANS,IL&FS Transportation Networks Limited,IL&FSTRANS.NS
IMAGICAA,Imagicaaworld Entertainment Limited,IMAGICAA.NS
IMFA,Indian Metals & Ferro Alloys Limited,IMFA.NS
IMPAL,India Motor Parts and Accessories Limited,IMPAL.NS
IMPEXFERRO,Impex Ferro Tech Limited,IMPEXFERRO.NS
INCREDIBLE,INCREDIBLE INDUSTRIES LIMITED,INCREDIBLE.NS
INDBANK,Indbank Merchant Banking Services Limited,INDBANK.NS
INDGN,Indegene Limited,INDGN.NS
INDHOTEL,The Indian Hotels Company Limited,INDHOTEL.NS
INDIACEM,The India Cements Limited,INDIACEM.NS
INDIAGLYCO,India Glycols Limited,INDIAGLYCO.NS
INDIAMART,Indiamart Intermesh Limited,INDIAMART.NS
INDIANB,Indian Bank,INDIANB.NS
INDIANCARD,Indian Card Clothing Company Limited,INDIANCARD.NS
INDIANHUME,Indian Hume Pipe Company Limited,INDIANHUME.NS
INDIASHLTR,India Shelter Finance Corporation Limited,INDIASHLTR.NS
INDIGO,InterGlobe Aviation Limited,INDIGO.NS
INDIGOPNTS,Indigo Paints Limited,INDIGOPNTS.NS
INDIQUBE,Indiqube Spaces Limited,INDIQUBE.NS
INDNIPPON,India Nippon Electricals Limited,INDNIPPON.NS
INDOAMIN,Indo Amines Limited,INDOAMIN.NS
INDOBORAX,Indo Borax & Chemicals Limited,INDOBORAX.NS
INDOCO,Indoco Remedies Limited,INDOCO.NS
INDOFARM,Indo Farm Equipment Limited,INDOFARM.NS
INDORAMA,Indo Rama Synthetics (India) Limited,INDORAMA.NS
INDOSTAR,IndoStar Capital Finance Limited,INDOSTAR.NS
INDOTECH,Indo Tech Transformers Limited,INDOTECH.NS
INDOTHAI,Indo Thai Securities Limited,INDOTHAI.NS
INDOUS,Indo Us Biotech Limited,INDOUS.NS
INDOWIND,Indowind Energy Limited,INDOWIND.NS
INDRAMEDCO,Indraprastha Medical Corporation Limited,INDRAMEDCO.NS
INDSWFTLAB,Ind-Swift Laboratories Limited,INDSWFTLAB.NS
INDTERRAIN,Indian Terrain Fashions Limited,INDTERRAIN.NS
INDUSINDBK,IndusInd Bank Limited,INDUSINDBK.NS
INDUSTOWER,Indus Towers Limited,INDUSTOWER.NS
INFIBEAM,Infibeam Avenues Limited,INFIBEAM.NS
INFOBEAN,InfoBeans Technologies Limited,INFOBEAN.NS
INFOMEDIA,Infomedia Press Limited,INFOMEDIA.NS
INFY,Infosys Limited,INFY.NS
INGERRAND,Ingersoll Rand (India) Limited,INGERRAND.NS
INNOVACAP,Innova Captab Limited,INNOVACAP.NS
INNOVANA,Innovana Thinklabs Limited,INNOVANA.NS
INOXGREEN,Inox Green Energy Services Limited,INOXGREEN.NS
INOXINDIA,INOX India Limited,INOXINDIA.NS
INOXWIND,Inox Wind Limited,INOXWIND.NS
INSECTICID,Insecticides (India) Limited,INSECTICID.NS
INSPIRISYS,Inspirisys Solutions Limited,INSPIRISYS.NS
INTELLECT,Intellect Design Arena Limited,INTELLECT.NS
INTENTECH,Intense Technologies Limited,INTENTECH.NS
INTERARCH,Interarch Building Solutions Limited,INTERARCH.NS
INTLCONV,International Conveyors Limited,INTLCONV.NS
INVENTURE,Inventure Growth & Securities Limited,INVENTURE.NS
IOB,Indian Overseas Bank,IOB.NS
