symbol,name,yahoo_symbol
ALOKINDS,Alok Industries Limited,ALOKINDS.NS
ALPA,Alpa Laboratories Limited,ALPA.NS
ALPHAGEO,Alphageo (India) Limited,ALPHAGEO.NS
ALPSINDUS,Alps Industries Limited,ALPSINDUS.NS
AMANTA,Amanta Healthcare Limited,AMANTA.NS
AMBER,Amber Enterprises India Limited,AMBER.NS
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,AMBICAAGAR.NS
AMBIKCO,Ambika Cotton Mills Limited,AMBIKCO.NS
AMBUJACEM,Ambuja Cements Limited,AMBUJACEM.NS
AMDIND,AMD Industries Limited,AMDIND.NS
AMJLAND,Amj Land Holdings Limited,AMJLAND.NS
AMNPLST,Amines & Plasticizers Limited,AMNPLST.NS
AMRUTANJAN,Amrutanjan Health Care Limited,AMRUTANJAN.NS
ANANDRATHI,Anand Rathi Wealth Limited,ANANDRATHI.NS
ANANTRAJ,Anant Raj Limited,ANANTRAJ.NS
ANDHRAPAP,ANDHRA PAPER LIMITED,ANDHRAPAP.NS
ANDHRSUGAR,The Andhra Sugars Limited,ANDHRSUGAR.NS
ANGELONE,Angel One Limited,ANGELONE.NS
ANIKINDS,Anik Industries Limited,ANIKINDS.NS
ANKITMETAL,Ankit Metal & Power Limited,ANKITMETAL.NS
ANMOL,Anmol India Limited,ANMOL.NS
ANSALAPI,Ansal Properties & Infrastructure Limited,ANSALAPI.NS
ANTELOPUS,Antelopus Selan Energy Limited,ANTELOPUS.NS
ANTGRAPHIC,Antarctica Limited,ANTGRAPHIC.NS
ANTHEM,Anthem Biosciences Limited,ANTHEM.NS
ANUHPHR,Anuh Pharma Limited,ANUHPHR.NS
ANUP,The Anup Engineering Limited,ANUP.NS
ANURAS,Anupam Rasayan India Limited,ANURAS.NS
APARINDS,Apar Industries Limited,APARINDS.NS
APCL,Anjani Portland Cement Limited,APCL.NS
APCOTEXIND,Apcotex Industries Limited,APCOTEXIND.NS
APEX,Apex Frozen Foods Limited,APEX.NS
APLAPOLLO,APL Apollo Tubes Limited,APLAPOLLO.NS
APLLTD,Alembic Pharmaceuticals Limited,APLLTD.NS
APOLLO,Apollo Micro Systems Limited,APOLLO.NS
APOLLOHOSP,Apollo Hospitals Enterprise Limited,APOLLOHOSP.NS
APOLLOPIPE,Apollo Pipes Limited,APOLLOPIPE.NS
APOLLOTYRE,Apollo Tyres Limited,APOLLOTYRE.NS
APOLSINHOT,Apollo Sindoori Hotels Limited,APOLSINHOT.NS
APTECHT,Aptech Limited,APTECHT.NS
APTUS,Aptus Value Housing Finance India Limited,APTUS.NS
ARCHIDPLY,Archidply Industries Limited,ARCHIDPLY.NS
ARCHIES,Archies Limited,ARCHIES.NS
ARE&M,Amara Raja Energy & Mobility Limited,ARE&M.NS
ARENTERP,Rajdarshan Industries Limited,ARENTERP.NS
ARFIN,Arfin India Limited,ARFIN.NS
ARIES,Aries Agro Limited,ARIES.NS
ARIHANTCAP,Arihant Capital Markets Limited,ARIHANTCAP.NS
ARIHANTSUP,Arihant Superstructures Limited,ARIHANTSUP.NS
ARISINFRA,Arisinfra Solutions Limited,ARISINFRA.NS
ARKADE,Arkade Developers Limited,ARKADE.NS
ARMANFIN,Arman Financial Services Limited,ARMANFIN.NS
AROGRANITE,Aro Granite Industries Limited,AROGRANITE.NS
ARROWGREEN,Arrow Greentech Limited,ARROWGREEN.NS
ARSHIYA,Arshiya Limited,ARSHIYA.NS
ARSSBL,Anand Rathi Share and Stock Brokers Limited,ARSSBL.NS
ARTEMISMED,Artemis Medicare Services Limited,ARTEMISMED.NS
ARTNIRMAN,Art Nirman Limited,ARTNIRMAN.NS
ARVEE,Arvee Laboratories (India) Limited,ARVEE.NS
ARVIND,Arvind Limited,ARVIND.NS
ARVINDFASN,Arvind Fashions Limited,ARVINDFASN.NS
ARVSMART,Arvind SmartSpaces Limited,ARVSMART.NS
ASAHIINDIA,Asahi India Glass Limited,ASAHIINDIA.NS
ASAHISONG,Asahi Songwon Colors Limited,ASAHISONG.NS
ASAL,Automotive Stampings and Assemblies Limited,ASAL.NS
ASALCBR,Associated Alcohols & Breweries Ltd.,ASALCBR.NS
ASHAPURMIN,Ashapura Minechem Limited,ASHAPURMIN.NS
ASHIANA,Ashiana Housing Limited,ASHIANA.NS
ASHIMASYN,Ashima Limited,ASHIMASYN.NS
ASHOKA,Ashoka Buildcon Limited,ASHOKA.NS
ASHOKAMET,Ashoka Metcast Limited,ASHOKAMET.NS
ASHOKLEY,Ashok Leyland Limited,ASHOKLEY.NS
ASIANENE,Asian Energy Services Limited,ASIANENE.NS
ASIANHOTNR,Asian Hotels (North) Limited,ASIANHOTNR.NS
ASIANPAINT,Asian Paints Limited,ASIANPAINT.NS
ASIANTILES,Asian Granito India Limited,ASIANTILES.NS
ASKAUTOLTD,ASK Automotive Limited,ASKAUTOLTD.NS
ASMS,Bartronics India Limited,ASMS.NS
ASPINWALL,Aspinwall and Company Limited,ASPINWALL.NS
ASTEC,Astec LifeSciences Limited,ASTEC.NS
ASTERDM,Aster DM Healthcare Limited,ASTERDM.NS
ASTRAL,Astral Limited,ASTRAL.NS
ASTRAMICRO,Astra Microwave Products Limited,ASTRAMICRO.NS
ASTRAZEN,AstraZeneca Pharma India Limited,ASTRAZEN.NS
ASTRON,Astron Paper & Board Mill Limited,ASTRON.NS
ATALREAL,Atal Realtech Limited,ATALREAL.NS
ATAM,Atam Valves Limited,ATAM.NS
ATGL,Adani Total Gas Limited,ATGL.NS
ATHERENERG,Ather Energy Limited,ATHERENERG.NS
ATL,Allcargo Terminals Limited,ATL.NS
ATLANTAA,ATLANTAA LIMITED,ATLANTAA.NS
ATLANTAELE,Atlanta Electricals Limited,ATLANTAELE.NS
ATLASCYCLE,Atlas Cycles (Haryana) Limited,ATLASCYCLE.NS
ATUL,Atul Limited,ATUL.NS
ATULAUTO,Atul Auto Limited,ATULAUTO.NS
AUBANK,AU Small Finance Bank Limited,AUBANK.NS
AURIGROW,Auri Grow India Limited,AURIGROW.NS
AURIONPRO,Aurionpro Solutions Limited,AURIONPRO.NS
AUROPHARMA,Aurobindo Pharma Limited,AUROPHARMA.NS
AURUM,Aurum PropTech Limited,AURUM.NS
AUSOMENT,Ausom Enterprise Limited,AUSOMENT.NS
AUTOAXLES,Automotive Axles Limited,AUTOAXLES.NS
AUTOIND,Autoline Industries Limited,AUTOIND.NS
AVADHSUGAR,Avadh Sugar & Energy Limited,AVADHSUGAR.NS
AVALON,Avalon Technologies Limited,AVALON.NS
AVANTEL,Avantel Limited,AVANTEL.NS
AVANTIFEED,Avanti Feeds Limited,AVANTIFEED.NS
AVG,AVG Logistics Limited,AVG.NS
AVL,Aditya Vision Limited,AVL.NS
AVONMORE,Avonmore Capital & Management Services Limited,AVONMORE.NS
AVROIND,AVRO INDIA LIMITED,AVROIND.NS
AVTNPL,AVT Natural Products Limited,AVTNPL.NS
AWFIS,Awfis Space Solutions Limited,AWFIS.NS
AWHCL,Antony Waste Handling Cell Limited,AWHCL.NS
AWL,AWL Agri Business Limited,AWL.NS
AXISBANK,Axis Bank Limited,AXISBANK.NS
AXISCADES,AXISCADES Technologies Limited,AXISCADES.NS
AXITA,Axita Cotton Limited,AXITA.NS
AYMSYNTEX,AYM Syntex Limited,AYMSYNTEX.NS
AZAD,Azad Engineering Limited,AZAD.NS
BAFNAPH,Bafna Pharmaceuticals Limited,BAFNAPH.NS
BAGFILMS,B.A.G Films and Media Limited,BAGFILMS.NS
BAIDFIN,Baid Finserv Limited,BAIDFIN.NS
BAJAJ-AUTO,Bajaj Auto Limited,BAJAJ-AUTO.NS
BAJAJCON,Bajaj Consumer Care Limited,BAJAJCON.NS
BAJAJELEC,Bajaj Electricals Limited,BAJAJELEC.NS
BAJAJFINSV,Bajaj Finserv Limited,BAJAJFINSV.NS
BAJAJHCARE,Bajaj Healthcare Limited,BAJAJHCARE.NS
BAJAJHFL,Bajaj Housing Finance Limited,BAJAJHFL.NS
BAJAJHIND,Bajaj Hindusthan Sugar Limited,BAJAJHIND.NS
BAJAJHLDNG,Bajaj Holdings & Investment Limited,BAJAJHLDNG.NS
BAJAJINDEF,Indef Manufacturing Limited,BAJAJINDEF.NS
BAJEL,Bajel Projects Limited,BAJEL.NS
BAJFINANCE,Bajaj Finance Limited,BAJFINANCE.NS
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,BALAJEE.NS
BALAJITELE,Balaji Telefilms Limited,BALAJITELE.NS
BALAMINES,Balaji Amines Limited,BALAMINES.NS
BALAXI,BALAXI PHARMACEUTICALS LIMITED,BALAXI.NS
BALKRISHNA,Balkrishna Paper Mills Limited,BALKRISHNA.NS
BALKRISIND,Balkrishna Industries Limited,BALKRISIND.NS
BALMLAWRIE,Balmer Lawrie & Company Limited,BALMLAWRIE.NS
BALPHARMA,Bal Pharma Limited,BALPHARMA.NS
BALRAMCHIN,Balrampur Chini Mills Limited,BALRAMCHIN.NS
BALUFORGE,Balu Forge Industries Limited,BALUFORGE.NS
